 序号, 合约代码,交易状态, 最新价, 涨跌, 涨幅, 成交额, 成交量, 持仓量, 日增仓, 增仓数, 减仓数, 换手数, 增仓方向, 减仓方向, 换手方向, 开盘涨跌, 买一价, 卖一价, 点差, 现量, 买一量, 卖一量, 昨结, 最高, 最低, 昨收, 今开, 结算价, 最大涨幅, ...
1,Ag(T+D),开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
2,Au(T+D),开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65, 
3,mAu(T+D),开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
4,Au99.99,开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
5,Au99.99,开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
6,Au100g,开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
7,Au99.95,开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
8,Au(T+N1),开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
9,Au(T+N2),开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,
10.Au99.5,开市,2312.0,-323.2,-10.11%,1235.42,895462,23,-658,2,0,9,无向,无向,无向,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,88888888,98.65,





