序号,合约代码,交易状态, 最新价, 涨跌, 涨幅,振幅,买价1, 买量1, 卖价1, 卖量1, 昨日结算, 昨日收盘, 开盘价, 最高价, 最低价，收盘价
1,Ag(T+D),开市,3846.00,-16,-0.41%,0.83%,3846.00,1916,3847.00,872,3862.00,3864.00,3863.00,3870.00,3838.00,3846.00
2,Au(T+D),开市,274.48,1.06,0.38%,0.72%,274.67,4,274.75,5,275.84,276.27,276.25,276.48,274.50,274.78
3,mAu(T+D),开市,274.48,1.06,0.38%,0.72%,274.67,4,274.75,5,275.84,276.27,276.25,276.48,274.50,274.78
4,Au99.99,开市,274.8,-1.50,-0.54%,0.77%,274.76,1,274.80,8927,276.30,276.30,276.79,276.79,274.66,274.80
5,Au99.95,开市,274.8,-1.50,-0.54%,0.77%,274.76,1,274.80,8927,276.30,276.30,276.79,276.79,274.66,274.80
6,Au100g,开市,274.8,-1.50,-0.54%,0.77%,274.76,1,274.80,8927,276.30,276.30,276.79,276.79,274.66,274.80
7,Au(T+N1),开市,274.8,-1.50,-0.54%,0.77%,274.76,1,274.80,8927,276.30,276.30,276.79,276.79,274.66,274.80
8,Au(T+N2),开市,274.8,-1.50,-0.54%,0.77%,274.76,1,274.80,8927,276.30,276.30,276.79,276.79,274.66,274.80
9,Au99.5,开市,274.8,-1.50,-0.54%,0.77%,274.76,1,274.80,8927,276.30,276.30,276.79,276.79,274.66,274.80





